topic,quoteText,responseText,quote_stance,response_stance,stance_disagree_agree
abortion,i am using my faith as a source of my belief on abortion give me a verse in the bible that says abortion is okay nowhere in the bible does it say that and please capitalize the 'b' in 'bible',does the bible say that it 's ok to wage war against people of another religion \? you people are the reason why there are wars you just ca n't help forcing your belief on others and then quotemine the bible to justify your actions it 's called bible bashing and noone likes it,-1,+1,0
abortion,"i 'll be more blunt it is n't your responsibility to teach others moral lessons that involve contracting fatal diseases , or ruining their lives such behaviour is vindictive and arrogant that is your subjective opinion , i on the other hand disagree i think my 'lesson' is entirely valid personal responsibility is very important it is n't arbitrary it aligns with law what law , of which nation \? besides laws can be changed being against killing is n't much of an argument we kill every day as far as i and anyone who has ever looked at a foetus is concerned , killing a foetus is little different from killing an apple when you made cider utterly ridiculous an apple is a fruit and is not a multi cellular organism , such as a human foetus i do not kill human foetuses everyday and that is what we are discussing not apples or plums or oranges lol","plant cells of a fruit are alive but they are not part of an independent unique multicellular organism so asexually reproducing life is n't sacred now \? in order to be sacred you need different dna \? i never understood that argument , quite frankly and i have heard it before as if having unique dna gives you consciousness and individuality fruit cells envelop seeds \( usually \) and they are alive the only important difference between them and foetal cells is that foetal cells lack a cell wall both a foetus and a fruit if left alone have the potential to grow a new life in the case of a fruit , the seeds may grow into new trees or shrubs in the case of a foetus , it may grow into a human both have this potential , but they are not presently realised this is what you are saying effectively that my testes are individual animals i never said that apples were independent life forms , but when you pick them from the tree they do live on their own apart from it also , if you want to get into the biology of it , the cells which make up your testes are part of an evolved collective of cells , a relationship which evolved over many millions of years multicellular life is , in a sense , many cells working together through evolved inter dependence so in a historical sense , yes , your testes have cells which are animals \( animals need not be multicellular \) but which are evolved to be genetically identical and inter dependent",-1,+1,0
abortion,what makes a fetus not a human \?,read point 1 of my post below that 's what \( min char limit \),-1,+1,0
abortion,"what could we show that you would find acceptable as the picture of abortion you people do not care about medical facts , scientific facts it does not matter in the least to you you want abortion legalon demand period the fact is abortion is the act of killing a living human being that is a scientific fact the heart starts beating around 22 days that is a scientific fact now i know what our laws saythat killing should be an option for women but tell me what would you call killing a living human being without its permission \? the unborn ca n't speak for themselves it does not matter what the procedure isit outcome is the same thing death to the unborn it is killing by burning , scrapping , dismembering , vacuuming the child until its dead that is every abortionists goal the unborn has to be killed in the womb not outside this picture is accurate and shows abortion those who are pro abortion of course would not like this pic it puts action to realityit gives a face to what they condone and what they condone is barbaric this is a surgery or procedure that is like none else on earth most doctors try to save lives and abortionists kill lives","what could we show that you would find acceptable as the picture of abortion pretending pro life people care about scientific fact is bullshit not that it 's impossible to be scientifically honest and still be pro life , but so many outspoken pro life people and groups who have no problem using misinformation , emotional blackmail , intimidation and deceit to manipulate people into doing what pro life thinks is right pro choice people do n't have to lie , because they do n't care if no one chooses an abortion as long as they are n't being lied to or bullied in fact , i think you 'd find most pro choice people would agree that the fewer people need want abortions , the better but being dishonest or cruel is not the way to go about making that happen why are d e illustrations so commonly used for pro life propaganda when d e accounts for less than 5 of all procedures \? not because it 's an honest representation of what most abortions look like , because it is n't it 's because it 's supposed to be scarier and more guilt inducing if you show this picture to an average woman who is considering an abortion and tell her this is what her procedure will look like , you are probably lying to her \( i'm not the one putting the semicolon after d e , the website is doing that \) you want abortion legalon demand period you got it the fact is abortion is the act of killing a living human being that is a scientific fact the heart starts beating around 22 days that is a scientific fact please show me where i denied that a fetus is a human oh wait , i did n't , because i'm not an idiot of course a fetus is a human did you expect me to claim it 's a different species \? the argument for abortion is sometimes concerned with personhood , not the presence of homo sapien dna and you 're getting the two confused but i think abortion would still be acceptable even if the government extended legal personhood to fetuses one human should not use another human as a life support system unless the host is giving ongoing consent this applies regardless of the age or legal status of either party or the relationship between the parties if it 's in your body and you do n't want it there , you have a right to try to find someone who will take it out but tell me what would you call killing a living human being without its permission abortion if it 's a fetus , murder if it 's not it 's cool how there 's two different names for that , is n't it \? that 's so we do n't get them confused it does not matter what the procedure isit outcome is the same thing death to the unborn oh shit , really \? ! well then call me pro life ! or do n't , because i already knew that maybe say some more obvious things those who are pro abortion of course would not like this pic i'm fine with it it 's not pretty but it 's a fairly realistic representation of an uncommon medical procedure medical procedures generally are not pretty it 's the use of it to scare women who wo n't even be getting this procedure that i have a problem with most doctors try to save lives and abortionists kill lives more obvious things ! if there is someone here who did n't realize abortion exterminates a living thing , i'm sure they 'll thank you",-1,+1,0
abortion,exactly i know why i made that statement if the fetus does not have life then why does the state and the federal government institutes a charge of double homicide if the fetus dies through the death of the mother because according to those supporting abortion the fetus does not have life are the laws therefore wrong \?,exactly i know why i made that statement if the fetus does not have life then why does the state and the federal government institutes a charge of double homicide if the fetus dies through the death of the mother because according to those supporting abortion the fetus does not have life are the laws therefore wrong \? i believe i said this,-1,+1,0
abortion,yes so was pulling the weeds on my front lawn last weekend was that murder too \?,that is not a human or an animal it is a plant killing a plant is okay especially weeds it should be considered murder to kill a baby before it is born though it is a living human just because it is n't out and about does n't mean that its not a living organism,+1,-1,0
abortion,"i find some of these points shocking and sad for instance , you minimize no trivialize the unborn human 's instinct to live , eat survive this is the very beginning of human life for god sakes ! it is not what is physically there in the womb which is at issue rather , it is the fact that this living thing inside the mother has input within it the potential to grow it is this instinct to develop , this fight to survive , to perpetuate itself which is beautiful and precious ! ! the potential is the important thing which is rare and precious , because one day you and i will both be dust with no more potential so let 's not let young ladies end it because it 's hard to raise children and because it takes work","it is not what is physically there in the womb which is at issue rather , it is the fact that this living thing inside the mother has input within it the potential to grow you forget that denying its life is not a precursor for murder the whole concept is weather its ethical to deny someones potential to exist before that unborn being has a choice of its own however the belief resides in the fact that if that unborn being never comes into existence in the first place , it cant make a choice nonetheless hence it is fallacious to ask weather its ethical to steal the right of a non existing , un spiritual and inamite being as rights are exclusivly to the living , not the living of the future it is this instinct to develop , this fight to survive , to perpetuate itself which is beautiful and precious that is emotional and poetic reasoning",-1,+1,0
abortion,so what if it does n't have a brain yet still is going to get one and still has a whole future in front of him her,"so what if it does n't have a brain yet still is going to get one and still has a whole future in front of him her no brain no life we do n't care about what might happen , we care about present reality by the way , why do you care about preserving life \? you 're a christian fundamentalist should n't you be out burning witches , nonbelievers , and homosexuals \?",-1,+1,0
abortion,"i do not have god to thank for my mother 's decision not to abort me if my mother had aborted me , i would have no opinion on the matter because i would never have existed","if my mother had aborted me , i would have no opinion on the matter because i would never have existed what an ignorant thought of course you would have existed while you obviously would n't realize what was happening , it is still a horrible violation of human rights studies have shown again and again that when aborted , the baby is not just a lifeless blob of tissue , it is a living being you jusyt wo n't accept the evidence i do n't what else must happen to rid you of your foolish thoughts",+1,-1,0
abortion,"if you want to get technical , it isn't your body either the bible tells us that our body's are a temple to god he is responsible for our birth and our death and our life on earth is to be a testament to him","yes , type in caps , we can hear you better that way if you want to get technical , it isn't your body either if you want to get religious , perhaps if you want to get technical , then it is your body the bible tells us that our body's are a temple to god the bible is filled with horseshit he is responsible for our birth and our death and our life on earth is to be a testament to him no , your mother is responsible for your birth , you are responsible for your life and time is responsible for your death",-1,+1,0
abortion,"i guess the implication is that by legalizing abortion , would that encourage in youths a perception that it is therefore okay to have sex since there is always a 'back up plan' \( to simply abort the child \) \?",not necessarily this depends on the maturity level of the youths ! sex ed is thus of great importance,-1,+1,0
